lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
omnetpp_4B,38958.0,259411.0,258051.0,258741.0,261510.0,262926.0,257991.0,258541.0,259627.0,262501.0,259439.0,259439.0,258554.0,259517.0,259464.0,259396.0,259396.0,259409.0,259411.0,259411.0,259411.0,259411.0,253020.0,52522.0,333670.0,52522.0,52522.0,52615.0,52522.0,52522.0,52522.0,293409.0,152274.0,52522.0,52522.0,317340.0,206885.0,52522.0,52522.0,52522.0,52522.0,291919.0
astar_163B,47651.0,33713.0,33727.0,33713.0,33762.0,33713.0,33727.0,33713.0,33835.0,27947.0,33713.0,33713.0,33014.0,32717.0,33713.0,33713.0,33713.0,33713.0,33713.0,33713.0,33713.0,33713.0,33344.0,47583.0,47583.0,47583.0,47583.0,47583.0,47583.0,47583.0,47583.0,40130.0,31403.0,47583.0,47583.0,46503.0,34341.0,47583.0,47583.0,47583.0,47583.0,45139.0
gcc_13B,280753.0,195972.0,200484.0,199945.0,166281.0,200279.0,200170.0,203425.0,200525.0,135977.0,196366.0,163603.0,154450.0,143750.0,159852.0,192250.0,192250.0,195980.0,195980.0,195972.0,195972.0,195972.0,31010.0,142709.0,138549.0,207956.0,266702.0,135996.0,138168.0,138584.0,243507.0,109964.0,104961.0,279967.0,230637.0,111202.0,107698.0,275111.0,267590.0,223684.0,232176.0,150595.0
omnetpp_340B,183062.0,147349.0,147604.0,146047.0,146308.0,147295.0,147198.0,146782.0,145672.0,114462.0,147349.0,147349.0,129097.0,143263.0,147274.0,147600.0,147600.0,147414.0,147349.0,147349.0,147349.0,147349.0,83625.0,154685.0,131373.0,164504.0,170032.0,143738.0,147252.0,145088.0,181224.0,112377.0,90077.0,178668.0,180496.0,117514.0,88310.0,178668.0,168520.0,171464.0,173396.0,136257.0
leslie3d_94B,73307.0,72509.0,72671.0,72676.0,72654.0,72673.0,72678.0,72676.0,72591.0,63377.0,72667.0,72667.0,68603.0,70970.0,70909.0,72521.0,72521.0,72509.0,72509.0,72509.0,72509.0,72509.0,31865.0,99164.0,97015.0,88249.0,89114.0,98814.0,96242.0,95593.0,83786.0,92743.0,80346.0,88374.0,84069.0,93448.0,88170.0,88374.0,88352.0,88457.0,73503.0,89666.0
wrf_1228B,112877.0,123291.0,123291.0,123291.0,123291.0,123291.0,123291.0,123294.0,123291.0,110619.0,123291.0,123291.0,116725.0,123291.0,123291.0,123238.0,123238.0,123303.0,123291.0,123291.0,123291.0,123291.0,33371.0,89551.0,86923.0,94813.0,98024.0,91030.0,91314.0,86489.0,112882.0,80970.0,73477.0,112925.0,109603.0,72770.0,78527.0,112925.0,112939.0,98823.0,112924.0,75641.0
milc_744B,34157.0,8285.0,17478.0,11283.0,8448.0,12667.0,8476.0,16024.0,17478.0,3284.0,9613.0,10923.0,4056.0,5422.0,7047.0,8285.0,8285.0,8285.0,8285.0,8285.0,8285.0,8285.0,379.0,34087.0,31254.0,34157.0,34087.0,33772.0,34087.0,34087.0,34157.0,17199.0,8047.0,34157.0,34157.0,20691.0,10477.0,34157.0,34157.0,34157.0,34157.0,14999.0
bzip2_183B,99139.0,81585.0,81565.0,81574.0,81580.0,81579.0,81591.0,81575.0,81576.0,76820.0,81585.0,81585.0,81585.0,81585.0,81585.0,81585.0,81585.0,81585.0,81585.0,81585.0,81585.0,81585.0,83740.0,99345.0,99345.0,99345.0,99345.0,99345.0,99345.0,99345.0,99345.0,99345.0,86610.0,99345.0,99345.0,99345.0,89228.0,99345.0,99345.0,99345.0,99345.0,95552.0
libquantum_1210B,127375.0,6970.0,7796.0,7796.0,7305.0,7796.0,7796.0,7796.0,7796.0,405.0,7796.0,7796.0,1142.0,3199.0,4740.0,6970.0,6970.0,6970.0,6970.0,6970.0,6970.0,6970.0,2.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,78506.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,7281.0
milc_360B,68968.0,39506.0,39404.0,38966.0,9396.0,39228.0,38575.0,39008.0,68968.0,34484.0,41912.0,43630.0,34484.0,34788.0,37426.0,39584.0,39506.0,39506.0,39506.0,39506.0,39506.0,39506.0,0.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,705.0
