lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
omnetpp_4B,519023.0,298120.0,299491.0,298775.0,296030.0,294646.0,299552.0,298967.0,297946.0,295157.0,298092.0,298092.0,298987.0,298011.0,298062.0,298117.0,298117.0,298122.0,298120.0,298120.0,298120.0,298120.0,304279.0,505410.0,223461.0,505410.0,505410.0,505317.0,505410.0,505410.0,505410.0,264009.0,405902.0,505410.0,505410.0,240056.0,351068.0,505410.0,505410.0,505410.0,505410.0,265242.0
astar_163B,36148.0,50049.0,50035.0,50049.0,50000.0,50049.0,50035.0,50049.0,49927.0,55809.0,50049.0,50049.0,50748.0,51041.0,50049.0,50049.0,50049.0,50049.0,50049.0,50049.0,50049.0,50049.0,50427.0,36216.0,36216.0,36216.0,36216.0,36216.0,36216.0,36216.0,36216.0,43661.0,52386.0,36216.0,36216.0,37295.0,49450.0,36216.0,36216.0,36216.0,36216.0,38655.0
gcc_13B,502271.0,587099.0,582539.0,583176.0,616869.0,582809.0,582995.0,579688.0,582543.0,647033.0,586768.0,619592.0,628513.0,639422.0,623332.0,590919.0,590919.0,587088.0,587088.0,587099.0,587099.0,587099.0,752615.0,640271.0,644461.0,575117.0,516303.0,646861.0,644813.0,644277.0,539495.0,673035.0,678062.0,503071.0,552436.0,671814.0,675319.0,507877.0,515299.0,559205.0,550861.0,632441.0
omnetpp_340B,235793.0,271502.0,271248.0,272804.0,272540.0,271563.0,271656.0,272068.0,273180.0,304384.0,271502.0,271502.0,289749.0,275587.0,271576.0,271252.0,271252.0,271439.0,271502.0,271502.0,271502.0,271502.0,335240.0,264177.0,287488.0,254347.0,248822.0,275119.0,271605.0,273771.0,237625.0,306463.0,328772.0,240181.0,238354.0,301328.0,330546.0,240181.0,250330.0,247384.0,245453.0,282598.0
leslie3d_94B,206903.0,207686.0,207521.0,207518.0,207539.0,207521.0,207514.0,207516.0,207601.0,216823.0,207528.0,207528.0,211599.0,209227.0,209293.0,207671.0,207671.0,207686.0,207686.0,207686.0,207686.0,207686.0,248377.0,181079.0,183224.0,191966.0,191082.0,181435.0,183995.0,184645.0,196407.0,187473.0,199875.0,191842.0,196137.0,186788.0,192055.0,191842.0,191853.0,191740.0,206692.0,190550.0
wrf_1228B,227962.0,217539.0,217539.0,217539.0,217539.0,217539.0,217539.0,217536.0,217539.0,230210.0,217539.0,217539.0,224105.0,217539.0,217539.0,217592.0,217592.0,217527.0,217539.0,217539.0,217539.0,217539.0,307463.0,251279.0,253904.0,246019.0,242807.0,249798.0,249515.0,254337.0,227949.0,259862.0,267357.0,227901.0,231226.0,268065.0,262308.0,227901.0,227896.0,242008.0,227906.0,265196.0
milc_744B,185749.0,211621.0,202428.0,208623.0,211458.0,207239.0,211430.0,203882.0,202428.0,216622.0,210293.0,208983.0,215850.0,214484.0,212859.0,211621.0,211621.0,211621.0,211621.0,211621.0,211621.0,211621.0,219527.0,185819.0,188652.0,185749.0,185819.0,186134.0,185819.0,185819.0,185749.0,202707.0,211859.0,185749.0,185749.0,199215.0,209429.0,185749.0,185749.0,185749.0,185749.0,204907.0
bzip2_183B,24315.0,42135.0,42135.0,42145.0,42136.0,42137.0,42141.0,42135.0,42124.0,46872.0,42135.0,42135.0,42135.0,42135.0,42135.0,42135.0,42135.0,42135.0,42135.0,42135.0,42135.0,42135.0,39878.0,24121.0,24121.0,24121.0,24121.0,24121.0,24121.0,24121.0,24121.0,24121.0,36970.0,24121.0,24121.0,24121.0,34346.0,24121.0,24121.0,24121.0,24121.0,28174.0
libquantum_1210B,262733.0,383138.0,382312.0,382312.0,382803.0,382312.0,382312.0,382312.0,382312.0,389703.0,382312.0,382312.0,388966.0,386909.0,385368.0,383138.0,383138.0,383138.0,383138.0,383138.0,383138.0,383138.0,390106.0,262733.0,262733.0,262733.0,262733.0,262733.0,262733.0,262733.0,262733.0,262733.0,311602.0,262733.0,262733.0,262733.0,262733.0,262733.0,262733.0,262733.0,262733.0,382827.0
milc_360B,224137.0,253599.0,253701.0,254139.0,283709.0,253877.0,254530.0,254097.0,224137.0,258621.0,251193.0,249475.0,258621.0,258317.0,255679.0,253521.0,253599.0,253599.0,253599.0,253599.0,253599.0,253599.0,293105.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,224137.0,292400.0
zeusmp_100B,38813.0,52797.0,52798.0,52817.0,52807.0,52804.0,52813.0,52845.0,52794.0,62170.0,52797.0,52797.0,57967.0,53974.0,52797.0,52797.0,52797.0,52797.0,52797.0,52797.0,52797.0,52797.0,47448.0,38839.0,38839.0,38839.0,38839.0,38839.0,38839.0,38839.0,38839.0,42014.0,49333.0,38839.0,38839.0,40130.0,46883.0,38839.0,38839.0,38839.0,38839.0,42735.0
calculix_2655B,15158.0,97155.0,97164.0,97160.0,97160.0,97160.0,97160.0,97160.0,97163.0,97193.0,97155.0,97155.0,97155.0,97155.0,97155.0,97155.0,97155.0,97155.0,97155.0,97155.0,97155.0,97155.0,25171.0,16021.0,16021.0,16021.0,16021.0,16021.0,16021.0,16021.0,16021.0,16387.0,19490.0,16021.0,16021.0,16021.0,19401.0,16021.0,16021.0,16021.0,16021.0,15368.0
lbm_1004B,295991.0,359028.0,343874.0,348308.0,357169.0,358158.0,350999.0,360349.0,346973.0,467293.0,347673.0,343181.0,428525.0,361600.0,362445.0,359028.0,359028.0,359028.0,359028.0,359028.0,359028.0,359028.0,479841.0,430749.0,433442.0,351424.0,393394.0,432775.0,427925.0,424961.0,324551.0,451684.0,462746.0,295177.0,329385.0,453703.0,460383.0,302978.0,306281.0,309683.0,296607.0,400492.0
soplex_217B,482702.0,535060.0,525908.0,536276.0,529586.0,523252.0,539511.0,535741.0,524374.0,506927.0,534251.0,533266.0,504356.0,508789.0,536590.0,536767.0,536767.0,536505.0,536034.0,535060.0,535060.0,535060.0,583464.0,463743.0,471450.0,459553.0,460125.0,463506.0,460661.0,463390.0,466766.0,525564.0,606582.0,460675.0,469256.0,512001.0,589276.0,460632.0,459098.0,517151.0,468252.0,478526.0
milc_409B,418598.0,453860.0,426616.0,439861.0,441850.0,438953.0,440873.0,440873.0,426616.0,562330.0,448251.0,444082.0,553322.0,522661.0,492416.0,453860.0,453860.0,453860.0,453860.0,453860.0,453860.0,453860.0,604405.0,517884.0,521829.0,517884.0,517884.0,520878.0,517573.0,517380.0,477535.0,531366.0,529472.0,418724.0,488923.0,529600.0,530580.0,448699.0,418724.0,418724.0,418724.0,568705.0
calculix_2670B,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0
sphinx3_2520B,130928.0,124019.0,124216.0,124225.0,124100.0,124151.0,124160.0,124149.0,124226.0,124690.0,124019.0,124019.0,124085.0,124019.0,124019.0,124027.0,124027.0,124019.0,124019.0,124019.0,124019.0,124019.0,113323.0,126673.0,126673.0,126673.0,126673.0,126673.0,126673.0,126673.0,126673.0,81050.0,82701.0,126673.0,126673.0,80664.0,80665.0,126673.0,126673.0,126673.0,126673.0,87377.0
GemsFDTD_109B,257124.0,387069.0,386732.0,386745.0,386683.0,386722.0,386664.0,386652.0,386818.0,390937.0,386658.0,386658.0,390158.0,389223.0,388089.0,387069.0,387069.0,387069.0,387069.0,387069.0,387069.0,387069.0,390052.0,354825.0,363091.0,317779.0,307739.0,359856.0,352064.0,350891.0,304853.0,380294.0,387256.0,256977.0,314379.0,377429.0,384291.0,272669.0,256978.0,256977.0,275241.0,374494.0
bzip2_281B,40814.0,84810.0,84622.0,85067.0,84848.0,84834.0,84407.0,85323.0,82621.0,89047.0,84810.0,84810.0,85068.0,84816.0,84810.0,84812.0,84812.0,84810.0,84810.0,84810.0,84810.0,84810.0,58155.0,38583.0,38583.0,38583.0,38583.0,38583.0,38583.0,38583.0,38583.0,39290.0,48372.0,38583.0,38583.0,39202.0,39895.0,38583.0,38583.0,38583.0,38583.0,46603.0
zeusmp_300B,29492.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,35402.0,44198.0,29484.0,29484.0,29484.0,29484.0,29484.0,29484.0,29484.0,29484.0,29477.0,33193.0,29484.0,29484.0,29484.0,32727.0,29484.0,29484.0,29484.0,29484.0,33103.0
mcf_250B,1133861.0,1534427.0,1526860.0,1550136.0,1527929.0,1545172.0,1511833.0,1533799.0,1523425.0,1515946.0,1540979.0,1524371.0,1500439.0,1517513.0,1522899.0,1535338.0,1534478.0,1534427.0,1534427.0,1534427.0,1534427.0,1534427.0,1484432.0,1110438.0,1154023.0,1097754.0,1097673.0,1145156.0,1111762.0,1115418.0,1107708.0,1135022.0,1324178.0,1100421.0,1108979.0,1125104.0,1311941.0,1101949.0,1097537.0,1097536.0,1097538.0,1316623.0
bzip2_259B,24509.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,24709.0,46744.0,24507.0,24507.0,24507.0,24507.0,24507.0,24507.0,24507.0,24507.0,24726.0,34030.0,24507.0,24507.0,24507.0,27892.0,24507.0,24507.0,24507.0,24507.0,26030.0
leslie3d_1116B,162646.0,162613.0,162712.0,162712.0,162651.0,162717.0,162712.0,162699.0,162714.0,182402.0,162613.0,162613.0,177038.0,167490.0,162613.0,162613.0,162613.0,162613.0,162613.0,162613.0,162613.0,162613.0,179994.0,159955.0,157025.0,161530.0,174352.0,159400.0,159912.0,159805.0,161934.0,162115.0,169256.0,161926.0,165115.0,161253.0,166494.0,161926.0,161902.0,161915.0,161932.0,161061.0
cactusADM_1495B,98717.0,97272.0,97272.0,97272.0,97272.0,97272.0,97272.0,97272.0,97272.0,101397.0,97272.0,97272.0,97639.0,97272.0,97272.0,97272.0,97272.0,97272.0,97272.0,97272.0,97272.0,97272.0,126675.0,99444.0,99483.0,99121.0,98934.0,99453.0,99379.0,99436.0,98891.0,103086.0,108160.0,98891.0,98891.0,101661.0,107715.0,98891.0,98861.0,98835.0,98803.0,106498.0
astar_23B,28386.0,85300.0,85014.0,85397.0,85114.0,85081.0,85984.0,85122.0,86619.0,87879.0,84808.0,84927.0,86148.0,85739.0,85817.0,85300.0,85300.0,85300.0,85300.0,85300.0,85300.0,85300.0,29662.0,28562.0,28562.0,28562.0,28562.0,28562.0,28562.0,28562.0,28562.0,30834.0,37202.0,28562.0,28562.0,30160.0,32748.0,28562.0,28562.0,28562.0,28562.0,31963.0
soplex_205B,497643.0,563035.0,559618.0,563760.0,558457.0,558315.0,559509.0,564500.0,557010.0,564595.0,560961.0,560657.0,557672.0,551181.0,561133.0,562606.0,562606.0,562747.0,563035.0,563035.0,563035.0,563035.0,624871.0,515222.0,528422.0,499912.0,488671.0,525473.0,518782.0,520600.0,506350.0,542835.0,587820.0,485097.0,513869.0,542441.0,580592.0,485097.0,489255.0,514074.0,493531.0,553622.0
libquantum_964B,276781.0,291037.0,290635.0,290635.0,292302.0,290635.0,290635.0,290635.0,290635.0,294666.0,290635.0,290635.0,294666.0,294666.0,293565.0,291037.0,291037.0,291037.0,291037.0,291037.0,291037.0,291037.0,294515.0,294581.0,294571.0,294581.0,276781.0,294577.0,294582.0,294596.0,294445.0,294657.0,294650.0,294159.0,294563.0,294628.0,294600.0,294544.0,276781.0,276781.0,276781.0,293588.0
lbm_564B,295987.0,355597.0,359691.0,356277.0,357444.0,357388.0,362899.0,359786.0,351694.0,463196.0,346051.0,344726.0,429385.0,358813.0,360492.0,355597.0,355597.0,355597.0,355597.0,355597.0,355597.0,355597.0,474348.0,435776.0,439211.0,351736.0,392680.0,436267.0,431259.0,429286.0,325849.0,461031.0,478169.0,295209.0,330385.0,459844.0,473821.0,305154.0,307387.0,302289.0,296072.0,401187.0
soplex_66B,362558.0,388018.0,368523.0,372975.0,386637.0,371820.0,377367.0,388618.0,367261.0,365797.0,387530.0,387530.0,367837.0,363526.0,382415.0,389469.0,389469.0,389336.0,388018.0,388018.0,388018.0,388018.0,466409.0,369618.0,370725.0,355538.0,351290.0,369137.0,370991.0,374013.0,360955.0,381506.0,434456.0,353949.0,358522.0,377666.0,424629.0,353960.0,351677.0,385706.0,362436.0,352837.0
mcf_158B,1245044.0,1580946.0,1576216.0,1581173.0,1577458.0,1581381.0,1578844.0,1574522.0,1579119.0,1582640.0,1583407.0,1585898.0,1590797.0,1576825.0,1578285.0,1580751.0,1580751.0,1580946.0,1580946.0,1580946.0,1580946.0,1580946.0,1531538.0,1244838.0,1281542.0,1215750.0,1215766.0,1277404.0,1226390.0,1236611.0,1216763.0,1352774.0,1460498.0,1215624.0,1219608.0,1306416.0,1445349.0,1215095.0,1215608.0,1215607.0,1215619.0,1391991.0
GemsFDTD_712B,391748.0,530854.0,529156.0,529121.0,529865.0,528742.0,528913.0,528807.0,529245.0,535359.0,529849.0,528690.0,533203.0,532567.0,531719.0,530854.0,530854.0,530854.0,530854.0,530854.0,530854.0,530854.0,538335.0,469874.0,474210.0,449196.0,381694.0,470424.0,469658.0,469728.0,445709.0,525695.0,532548.0,391205.0,453003.0,518046.0,531219.0,417754.0,391054.0,388845.0,391054.0,516551.0
wrf_1212B,9000.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,12095.0,10079.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9002.0
wrf_1650B,14874.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,14878.0,18453.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0,14874.0
