lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
omnetpp_4B,13579.0,235727.0,234865.0,235186.0,237959.0,238987.0,234645.0,235033.0,236116.0,241202.0,235754.0,235754.0,236433.0,236127.0,235801.0,235733.0,235733.0,235727.0,235727.0,235727.0,235727.0,235727.0,92043.0,17193.0,153670.0,17193.0,17193.0,17196.0,17193.0,17193.0,17193.0,134339.0,65129.0,17193.0,17193.0,146515.0,92323.0,17193.0,17193.0,17193.0,17193.0,201677.0
astar_163B,12456.0,11766.0,11766.0,11766.0,11768.0,11766.0,11766.0,11766.0,11769.0,11003.0,11766.0,11766.0,11669.0,11474.0,11766.0,11766.0,11766.0,11766.0,11766.0,11766.0,11766.0,11766.0,10993.0,12432.0,12432.0,12432.0,12432.0,12432.0,12432.0,12432.0,12432.0,11257.0,9896.0,12432.0,12432.0,12267.0,10512.0,12432.0,12432.0,12432.0,12432.0,12329.0
gcc_13B,9551.0,12949.0,13034.0,12908.0,13246.0,12863.0,13637.0,13621.0,13022.0,19498.0,13018.0,13439.0,15636.0,15702.0,13713.0,12227.0,12227.0,12947.0,12947.0,12949.0,12949.0,12949.0,5142.0,12848.0,12642.0,9250.0,8806.0,13233.0,12929.0,13127.0,9121.0,14896.0,16825.0,9221.0,9245.0,13696.0,16465.0,9150.0,9305.0,9715.0,10775.0,14417.0
omnetpp_340B,40077.0,44135.0,44205.0,43383.0,43581.0,43935.0,44174.0,43895.0,43760.0,40281.0,44135.0,44135.0,42090.0,43297.0,44094.0,44055.0,44055.0,44137.0,44135.0,44135.0,44135.0,44135.0,25615.0,38734.0,35452.0,38439.0,38883.0,36961.0,37094.0,36979.0,39587.0,32811.0,28121.0,38263.0,39310.0,33287.0,27795.0,38263.0,38487.0,36760.0,38346.0,38689.0
leslie3d_94B,2826.0,5931.0,5886.0,5891.0,5937.0,5894.0,5891.0,5888.0,5859.0,5739.0,5929.0,5929.0,6127.0,6010.0,5974.0,5937.0,5937.0,5930.0,5931.0,5931.0,5931.0,5931.0,1850.0,6653.0,6768.0,6042.0,4682.0,6776.0,6329.0,6356.0,4754.0,6309.0,5663.0,4519.0,4920.0,6295.0,6019.0,4519.0,4514.0,4528.0,4981.0,4666.0
wrf_1228B,713.0,4535.0,4535.0,4535.0,4535.0,4535.0,4535.0,4533.0,4535.0,5281.0,4535.0,4535.0,4555.0,4535.0,4535.0,4532.0,4532.0,4539.0,4535.0,4535.0,4535.0,4535.0,1234.0,720.0,716.0,704.0,739.0,721.0,732.0,735.0,715.0,1393.0,2072.0,711.0,719.0,1734.0,1840.0,711.0,709.0,767.0,706.0,1945.0
milc_744B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bzip2_183B,25889.0,20844.0,20846.0,20838.0,20840.0,20840.0,20846.0,20838.0,20844.0,20418.0,20844.0,20844.0,20844.0,20844.0,20844.0,20844.0,20844.0,20844.0,20844.0,20844.0,20844.0,20844.0,22464.0,26036.0,26036.0,26036.0,26036.0,26036.0,26036.0,26036.0,26036.0,26036.0,25234.0,26036.0,26036.0,26036.0,25536.0,26036.0,26036.0,26036.0,26036.0,24336.0
libquantum_1210B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
milc_360B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
