lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
omnetpp_4B,251054.0,25308.0,26159.0,25856.0,23240.0,22174.0,26338.0,26000.0,24975.0,20499.0,25282.0,25282.0,24629.0,24955.0,25249.0,25324.0,25324.0,25310.0,25308.0,25308.0,25308.0,25308.0,167470.0,247829.0,105265.0,247829.0,247829.0,247793.0,247829.0,247829.0,247829.0,126752.0,199174.0,247829.0,247829.0,113940.0,171096.0,247829.0,247829.0,247829.0,247829.0,58678.0
astar_163B,13173.0,13863.0,13863.0,13863.0,13861.0,13863.0,13863.0,13863.0,13860.0,14622.0,13863.0,13863.0,13960.0,14153.0,13863.0,13863.0,13863.0,13863.0,13863.0,13863.0,13863.0,13863.0,14633.0,13197.0,13197.0,13197.0,13197.0,13197.0,13197.0,13197.0,13197.0,14370.0,15731.0,13197.0,13197.0,13362.0,15115.0,13197.0,13197.0,13197.0,13197.0,13300.0
gcc_13B,113706.0,110035.0,109936.0,110148.0,109798.0,110157.0,109302.0,109295.0,110026.0,103499.0,110003.0,109637.0,107439.0,107315.0,109348.0,110857.0,110857.0,110040.0,110040.0,110035.0,110035.0,110035.0,118650.0,110369.0,110538.0,113945.0,114495.0,109971.0,110268.0,110076.0,114018.0,108316.0,106358.0,114066.0,113939.0,109468.0,106740.0,114088.0,113979.0,113525.0,112487.0,108682.0
omnetpp_340B,109462.0,105560.0,105619.0,106292.0,106198.0,105710.0,105496.0,105787.0,106029.0,109566.0,105560.0,105560.0,107530.0,106425.0,105600.0,105646.0,105646.0,105564.0,105560.0,105560.0,105560.0,105560.0,124279.0,111007.0,114287.0,111137.0,110831.0,112771.0,112606.0,112625.0,110017.0,116925.0,121753.0,111317.0,110275.0,116616.0,122079.0,111317.0,111121.0,112981.0,111287.0,111063.0
leslie3d_94B,21447.0,18579.0,18605.0,18612.0,18586.0,18606.0,18606.0,18611.0,18639.0,18744.0,18585.0,18585.0,18424.0,18487.0,18537.0,18591.0,18591.0,18573.0,18579.0,18579.0,18579.0,18579.0,22277.0,17867.0,17809.0,18510.0,19863.0,17815.0,18184.0,18190.0,19824.0,18164.0,18689.0,20029.0,19620.0,18152.0,18389.0,20029.0,20030.0,20030.0,19640.0,19580.0
wrf_1228B,18450.0,15221.0,15221.0,15221.0,15221.0,15221.0,15221.0,15218.0,15221.0,14595.0,15221.0,15221.0,15189.0,15221.0,15221.0,15221.0,15221.0,15212.0,15221.0,15221.0,15221.0,15221.0,17821.0,18513.0,18486.0,18426.0,18488.0,18479.0,18497.0,18493.0,18466.0,17906.0,17312.0,18488.0,18463.0,17560.0,17515.0,18488.0,18488.0,18430.0,18474.0,17429.0
milc_744B,71674.0,71695.0,71702.0,71701.0,71700.0,71686.0,71691.0,71700.0,71702.0,71706.0,71696.0,71698.0,71713.0,71701.0,71707.0,71695.0,71695.0,71695.0,71695.0,71695.0,71695.0,71695.0,71713.0,71677.0,71682.0,71677.0,71677.0,71680.0,71677.0,71677.0,71677.0,71685.0,71692.0,71677.0,71677.0,71683.0,71691.0,71677.0,71677.0,71677.0,71677.0,71680.0
bzip2_183B,6795.0,11873.0,11877.0,11878.0,11879.0,11874.0,11875.0,11875.0,11870.0,12286.0,11873.0,11873.0,11873.0,11873.0,11873.0,11873.0,11873.0,11873.0,11873.0,11873.0,11873.0,11873.0,10237.0,6657.0,6657.0,6657.0,6657.0,6657.0,6657.0,6657.0,6657.0,6657.0,7462.0,6657.0,6657.0,6657.0,7154.0,6657.0,6657.0,6657.0,6657.0,8338.0
libquantum_1210B,46969.0,47076.0,47063.0,47063.0,47076.0,47063.0,47063.0,47063.0,47063.0,47149.0,47063.0,47063.0,47138.0,47108.0,47096.0,47076.0,47076.0,47076.0,47076.0,47076.0,47076.0,47076.0,47158.0,46987.0,46987.0,46987.0,46987.0,46987.0,46987.0,46987.0,46987.0,46987.0,47054.0,46987.0,46987.0,46987.0,46987.0,46987.0,46987.0,46987.0,46987.0,47012.0
milc_360B,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0,104256.0
