lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
omnetpp_4B,15410.0,18228.0,17900.0,18119.0,18055.0,18463.0,17894.0,18101.0,18094.0,16541.0,18229.0,18229.0,17256.0,18033.0,18216.0,18211.0,18211.0,18226.0,18228.0,18228.0,18228.0,18228.0,153292.0,25155.0,171533.0,25155.0,25155.0,25246.0,25155.0,25155.0,25155.0,150476.0,77523.0,25155.0,25155.0,162284.0,105704.0,25155.0,25155.0,25155.0,25155.0,80379.0
astar_163B,13231.0,6574.0,6588.0,6574.0,6621.0,6574.0,6588.0,6574.0,6690.0,6230.0,6574.0,6574.0,6561.0,6555.0,6574.0,6574.0,6574.0,6574.0,6574.0,6574.0,6574.0,6574.0,9431.0,13214.0,13214.0,13214.0,13214.0,13214.0,13214.0,13214.0,13214.0,12087.0,10620.0,13214.0,13214.0,13010.0,11119.0,13214.0,13214.0,13214.0,13214.0,12338.0
gcc_13B,14265.0,16676.0,16783.0,16492.0,17168.0,16579.0,17473.0,17394.0,16680.0,29920.0,16750.0,17358.0,20354.0,19593.0,17791.0,15703.0,15703.0,16677.0,16677.0,16676.0,16676.0,16676.0,9260.0,18763.0,18701.0,12999.0,13479.0,19225.0,19047.0,19181.0,12386.0,22743.0,27529.0,14208.0,12531.0,21587.0,26677.0,14071.0,13955.0,14660.0,15642.0,23928.0
omnetpp_340B,39587.0,16529.0,16795.0,15993.0,16397.0,16766.0,16316.0,16362.0,15788.0,11228.0,16529.0,16529.0,13588.0,15582.0,16550.0,16835.0,16835.0,16546.0,16529.0,16529.0,16529.0,16529.0,18706.0,37113.0,33316.0,36960.0,38282.0,35163.0,35458.0,35200.0,39278.0,29905.0,25854.0,38048.0,39109.0,31392.0,25119.0,38048.0,36491.0,36858.0,37977.0,25257.0
leslie3d_94B,7922.0,16930.0,16941.0,16940.0,16921.0,16937.0,16939.0,16941.0,16933.0,14840.0,16930.0,16930.0,16192.0,16956.0,16939.0,16935.0,16935.0,16931.0,16930.0,16930.0,16930.0,16930.0,16277.0,36374.0,34944.0,25704.0,13390.0,35904.0,34053.0,33344.0,14142.0,29765.0,28933.0,12910.0,16096.0,31529.0,28515.0,12910.0,12909.0,12922.0,14653.0,24828.0
wrf_1228B,7277.0,28938.0,28938.0,28938.0,28938.0,28938.0,28938.0,28943.0,28938.0,37879.0,28938.0,28938.0,29579.0,28938.0,28938.0,28911.0,28911.0,28940.0,28938.0,28938.0,28938.0,28938.0,7577.0,7295.0,7545.0,7193.0,7622.0,7445.0,7337.0,7140.0,7268.0,15881.0,20423.0,7307.0,7311.0,15598.0,20041.0,7307.0,7326.0,7573.0,7312.0,17599.0
milc_744B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bzip2_183B,29850.0,19844.0,19829.0,19827.0,19841.0,19844.0,19848.0,19837.0,19849.0,19505.0,19844.0,19844.0,19844.0,19844.0,19844.0,19844.0,19844.0,19844.0,19844.0,19844.0,19844.0,19844.0,27202.0,30002.0,30002.0,30002.0,30002.0,30002.0,30002.0,30002.0,30002.0,30002.0,29151.0,30002.0,30002.0,30002.0,29552.0,30002.0,30002.0,30002.0,30002.0,28916.0
libquantum_1210B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
milc_360B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
