lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
omnetpp_4B,265461.0,265787.0,266137.0,265874.0,265805.0,265468.0,266185.0,265893.0,265907.0,266937.0,265785.0,265785.0,266742.0,265932.0,265779.0,265764.0,265764.0,265787.0,265787.0,265787.0,265787.0,265787.0,132016.0,255275.0,114184.0,255275.0,255275.0,255217.0,255275.0,255275.0,255275.0,133370.0,203869.0,255275.0,255275.0,122177.0,176349.0,255275.0,255275.0,255275.0,255275.0,203946.0
astar_163B,19233.0,25853.0,25839.0,25853.0,25806.0,25853.0,25839.0,25853.0,25737.0,26197.0,25853.0,25853.0,25866.0,25873.0,25853.0,25853.0,25853.0,25853.0,25853.0,25853.0,25853.0,25853.0,23009.0,19250.0,19250.0,19250.0,19250.0,19250.0,19250.0,19250.0,19250.0,20371.0,21836.0,19250.0,19250.0,19453.0,21339.0,19250.0,19250.0,19250.0,19250.0,20121.0
gcc_13B,265977.0,263825.0,263761.0,264097.0,263283.0,263931.0,263047.0,263140.0,263909.0,250767.0,263752.0,263211.0,260221.0,260948.0,262796.0,264727.0,264727.0,263802.0,263802.0,263825.0,263825.0,263825.0,271427.0,261631.0,261690.0,267357.0,266816.0,261020.0,261354.0,261155.0,267909.0,257670.0,253028.0,266162.0,267786.0,258757.0,253771.0,266232.0,266219.0,265553.0,264705.0,256656.0
omnetpp_340B,109651.0,132455.0,132229.0,133017.0,132637.0,132284.0,132693.0,132646.0,133211.0,137822.0,132455.0,132455.0,135480.0,133373.0,132434.0,132150.0,132150.0,132436.0,132455.0,132455.0,132455.0,132455.0,130263.0,111944.0,115833.0,112233.0,110807.0,113953.0,113605.0,113912.0,109936.0,119265.0,123220.0,111190.0,110126.0,117612.0,123948.0,111190.0,112716.0,112218.0,111201.0,123699.0
leslie3d_94B,168065.0,158800.0,158806.0,158797.0,158795.0,158803.0,158802.0,158798.0,158807.0,160925.0,158796.0,158796.0,159507.0,158787.0,158795.0,158774.0,158774.0,158806.0,158800.0,158800.0,158800.0,158800.0,159850.0,139354.0,140731.0,149995.0,162308.0,139754.0,141687.0,142362.0,161520.0,146001.0,146946.0,162804.0,159614.0,144286.0,147316.0,162804.0,162796.0,162767.0,160971.0,151169.0
wrf_1228B,149799.0,127536.0,127536.0,127536.0,127536.0,127536.0,127536.0,127536.0,127536.0,118474.0,127536.0,127536.0,126907.0,127536.0,127536.0,127566.0,127566.0,127539.0,127536.0,127536.0,127536.0,127536.0,149602.0,149702.0,149480.0,149909.0,149382.0,149583.0,149663.0,149858.0,149782.0,141052.0,136427.0,149720.0,149736.0,141343.0,136839.0,149720.0,149712.0,149461.0,149738.0,139264.0
milc_744B,114075.0,114054.0,114047.0,114048.0,114049.0,114063.0,114058.0,114049.0,114047.0,114043.0,114053.0,114051.0,114036.0,114048.0,114042.0,114054.0,114054.0,114054.0,114054.0,114054.0,114054.0,114054.0,114036.0,114072.0,114067.0,114072.0,114072.0,114069.0,114072.0,114072.0,114072.0,114064.0,114057.0,114072.0,114072.0,114066.0,114058.0,114072.0,114072.0,114072.0,114072.0,114069.0
bzip2_183B,8605.0,18841.0,18831.0,18856.0,18838.0,18840.0,18845.0,18842.0,18820.0,19166.0,18841.0,18841.0,18841.0,18841.0,18841.0,18841.0,18841.0,18841.0,18841.0,18841.0,18841.0,18841.0,11403.0,8457.0,8457.0,8457.0,8457.0,8457.0,8457.0,8457.0,8457.0,8457.0,9419.0,8457.0,8457.0,8457.0,9018.0,8457.0,8457.0,8457.0,8457.0,9822.0
libquantum_1210B,215764.0,215657.0,215670.0,215670.0,215657.0,215670.0,215670.0,215670.0,215670.0,215584.0,215670.0,215670.0,215595.0,215625.0,215637.0,215657.0,215657.0,215657.0,215657.0,215657.0,215657.0,215657.0,215575.0,215746.0,215746.0,215746.0,215746.0,215746.0,215746.0,215746.0,215746.0,215746.0,215679.0,215746.0,215746.0,215746.0,215746.0,215746.0,215746.0,215746.0,215746.0,215721.0
milc_360B,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0,119881.0
zeusmp_100B,27176.0,37769.0,37764.0,37781.0,37778.0,37771.0,37775.0,37765.0,37773.0,38783.0,37769.0,37769.0,38355.0,37816.0,37769.0,37769.0,37769.0,37769.0,37769.0,37769.0,37769.0,37769.0,30249.0,27187.0,27187.0,27187.0,27187.0,27187.0,27187.0,27187.0,27187.0,27650.0,29311.0,27187.0,27187.0,27525.0,28805.0,27187.0,27187.0,27187.0,27187.0,28027.0
calculix_2655B,12961.0,88619.0,88619.0,88619.0,88619.0,88619.0,88619.0,88619.0,88619.0,88617.0,88619.0,88619.0,88619.0,88619.0,88619.0,88619.0,88619.0,88619.0,88619.0,88619.0,88619.0,88619.0,16752.0,13684.0,13684.0,13684.0,13684.0,13684.0,13684.0,13684.0,13684.0,14017.0,16604.0,13684.0,13684.0,13684.0,16733.0,13684.0,13684.0,13684.0,13684.0,13124.0
