lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
omnetpp_4B,275.0,989.0,979.0,975.0,1002.0,1001.0,980.0,970.0,986.0,974.0,989.0,989.0,990.0,988.0,990.0,989.0,989.0,989.0,989.0,989.0,989.0,989.0,1445.0,551.0,1592.0,551.0,551.0,551.0,551.0,551.0,551.0,1725.0,2040.0,551.0,551.0,1663.0,1981.0,551.0,551.0,551.0,551.0,1137.0
astar_163B,894.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,153.0,181.0,181.0,173.0,180.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,369.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,556.0,264.0,889.0,889.0,781.0,328.0,889.0,889.0,889.0,889.0,875.0
gcc_13B,10288.0,6856.0,6862.0,6745.0,6753.0,6853.0,8183.0,8196.0,6890.0,7764.0,6844.0,6867.0,7102.0,6693.0,6853.0,5794.0,5794.0,6857.0,6857.0,6856.0,6856.0,6856.0,3144.0,9726.0,9587.0,10000.0,9561.0,9471.0,9246.0,9397.0,10347.0,8945.0,7363.0,9962.0,10144.0,9163.0,7704.0,10016.0,9850.0,8210.0,11342.0,9603.0
omnetpp_340B,6365.0,7548.0,7477.0,7580.0,7284.0,7562.0,7613.0,7523.0,7365.0,6945.0,7548.0,7548.0,7312.0,7558.0,7550.0,7585.0,7585.0,7600.0,7548.0,7548.0,7548.0,7548.0,3828.0,5151.0,4518.0,5300.0,5846.0,4850.0,5381.0,5575.0,5722.0,4363.0,4618.0,5453.0,5719.0,4359.0,4466.0,5453.0,5570.0,5738.0,5535.0,6428.0
leslie3d_94B,9738.0,19084.0,19120.0,19121.0,19072.0,19122.0,19122.0,19120.0,19082.0,17659.0,19083.0,19083.0,19128.0,19092.0,19082.0,19081.0,19081.0,19084.0,19084.0,19084.0,19084.0,19084.0,3333.0,22474.0,22683.0,22238.0,18544.0,22700.0,22300.0,22231.0,18911.0,24460.0,20856.0,17987.0,19767.0,23734.0,23642.0,17987.0,18015.0,18045.0,19490.0,26036.0
wrf_1228B,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,69.0,58.0,58.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,6422.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,62.0,58.0,58.0,59.0,58.0,58.0,58.0,58.0,58.0,59.0
milc_744B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bzip2_183B,14912.0,13716.0,13711.0,13727.0,13718.0,13716.0,13717.0,13720.0,13705.0,12849.0,13716.0,13716.0,13716.0,13716.0,13716.0,13716.0,13716.0,13716.0,13716.0,13716.0,13716.0,13716.0,10851.0,14848.0,14848.0,14848.0,14848.0,14848.0,14848.0,14848.0,14848.0,14848.0,12878.0,14848.0,14848.0,14848.0,13545.0,14848.0,14848.0,14848.0,14848.0,14678.0
libquantum_1210B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
milc_360B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zeusmp_100B,6276.0,6751.0,6751.0,6756.0,6752.0,6753.0,6750.0,6748.0,6759.0,6901.0,6751.0,6751.0,6820.0,6682.0,6751.0,6751.0,6751.0,6751.0,6751.0,6751.0,6751.0,6751.0,6405.0,6272.0,6272.0,6272.0,6272.0,6272.0,6272.0,6272.0,6272.0,6301.0,6393.0,6272.0,6272.0,6295.0,6358.0,6272.0,6272.0,6272.0,6272.0,6248.0
calculix_2655B,36.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
lbm_1004B,6354.0,10547.0,10600.0,14923.0,9907.0,14681.0,9395.0,12585.0,12863.0,29808.0,7522.0,7467.0,36388.0,30960.0,20268.0,10547.0,10547.0,10547.0,10547.0,10547.0,10547.0,10547.0,16523.0,30784.0,31447.0,10861.0,19213.0,31506.0,32596.0,33264.0,9260.0,32528.0,31363.0,7184.0,9856.0,30737.0,31545.0,7350.0,7588.0,7463.0,7196.0,32561.0
soplex_217B,19051.0,24684.0,23354.0,23931.0,23690.0,22879.0,24057.0,24283.0,22559.0,21154.0,24456.0,24445.0,18764.0,20229.0,24443.0,24942.0,24942.0,24908.0,24908.0,24684.0,24684.0,24684.0,26545.0,17899.0,17905.0,18747.0,19617.0,18062.0,17998.0,17893.0,17936.0,19631.0,21311.0,18782.0,17662.0,19918.0,20041.0,18772.0,18789.0,17981.0,21246.0,23116.0
milc_409B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calculix_2670B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphinx3_2520B,3287.0,8353.0,8371.0,8368.0,8348.0,8360.0,8359.0,8357.0,8371.0,8406.0,8353.0,8353.0,8363.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,8353.0,2945.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,6054.0,8740.0,8893.0,6054.0,6054.0,8765.0,8861.0,6054.0,6054.0,6054.0,6054.0,8869.0
GemsFDTD_109B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bzip2_281B,6697.0,6123.0,6109.0,6150.0,6126.0,6116.0,6105.0,6147.0,6044.0,6126.0,6123.0,6123.0,6123.0,6123.0,6123.0,6123.0,6123.0,6123.0,6123.0,6123.0,6123.0,6123.0,5554.0,6172.0,6172.0,6172.0,6172.0,6172.0,6172.0,6172.0,6172.0,6172.0,6413.0,6172.0,6172.0,6172.0,6172.0,6172.0,6172.0,6172.0,6172.0,6580.0
zeusmp_300B,5769.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4806.0,4657.0,5769.0,5769.0,5769.0,5769.0,5769.0,5769.0,5769.0,5769.0,5770.0,5776.0,5769.0,5769.0,5769.0,5776.0,5769.0,5769.0,5769.0,5769.0,5635.0
mcf_250B,1304.0,1511.0,1456.0,1477.0,1467.0,1480.0,1581.0,1506.0,1492.0,1433.0,1513.0,1508.0,1519.0,1525.0,1517.0,1509.0,1510.0,1511.0,1511.0,1511.0,1511.0,1511.0,1409.0,1360.0,1150.0,1294.0,1291.0,1140.0,1248.0,1258.0,1334.0,1225.0,1261.0,1306.0,1251.0,1245.0,1307.0,1301.0,1293.0,1293.0,1295.0,1437.0
bzip2_259B,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
leslie3d_1116B,62.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,58.0,59.0,57.0,57.0,56.0,56.0,56.0,58.0,63.0,61.0,58.0,58.0,63.0,58.0,58.0,57.0,59.0,58.0,60.0
cactusADM_1495B,181.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,19.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,2314.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,254.0,1177.0,182.0,182.0,246.0,830.0,182.0,182.0,182.0,182.0,582.0
astar_23B,2268.0,2242.0,2243.0,2243.0,2244.0,2242.0,2242.0,2243.0,2244.0,2238.0,2242.0,2242.0,2241.0,2241.0,2241.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2242.0,2268.0,2269.0,2269.0,2269.0,2269.0,2269.0,2269.0,2269.0,2269.0,2268.0,2267.0,2269.0,2269.0,2269.0,2268.0,2269.0,2269.0,2269.0,2269.0,2267.0
soplex_205B,27059.0,31103.0,30536.0,31307.0,32358.0,33018.0,32012.0,31191.0,33255.0,30718.0,31126.0,31244.0,30359.0,29071.0,31367.0,31039.0,31039.0,31093.0,31103.0,31103.0,31103.0,31103.0,27515.0,23406.0,23448.0,24833.0,25333.0,23595.0,23587.0,23907.0,23742.0,25777.0,24955.0,24456.0,23756.0,25607.0,23823.0,24456.0,25008.0,25134.0,26507.0,29001.0
libquantum_964B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lbm_564B,5263.0,8078.0,11053.0,12402.0,13977.0,12626.0,13518.0,11406.0,15895.0,30273.0,6078.0,5985.0,35411.0,30543.0,17461.0,8078.0,8078.0,8078.0,8078.0,8078.0,8078.0,8078.0,16433.0,27645.0,28233.0,9410.0,19778.0,28377.0,29523.0,29828.0,7615.0,28024.0,23962.0,6041.0,7932.0,27259.0,25415.0,6317.0,6354.0,6030.0,6065.0,32899.0
soplex_66B,12218.0,15011.0,13751.0,13522.0,15442.0,14008.0,14211.0,14692.0,13176.0,14250.0,15012.0,15012.0,14565.0,13697.0,14321.0,15204.0,15204.0,15200.0,15011.0,15011.0,15011.0,15011.0,14898.0,11339.0,11405.0,11982.0,12387.0,11424.0,11113.0,11704.0,11156.0,13979.0,15282.0,11972.0,11320.0,14028.0,14082.0,11973.0,12070.0,11958.0,14961.0,14112.0
mcf_158B,2670.0,3639.0,3675.0,3544.0,3700.0,3529.0,3571.0,3796.0,3779.0,3745.0,3626.0,3636.0,3531.0,3609.0,3645.0,3640.0,3640.0,3639.0,3639.0,3639.0,3639.0,3639.0,3944.0,2566.0,2593.0,2706.0,2701.0,2605.0,2669.0,2663.0,2925.0,2560.0,2557.0,2906.0,2886.0,2669.0,2547.0,2941.0,2706.0,2706.0,2705.0,2788.0
GemsFDTD_712B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrf_1212B,39.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,36.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
wrf_1650B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GemsFDTD_716B,10878.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,5671.0,8934.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,10924.0,11160.0
gcc_39B,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
perlbench_135B,2086.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,1706.0,2087.0,2087.0,2087.0,2087.0,2087.0,2087.0,2087.0,2087.0,2087.0,2088.0,2087.0,2087.0,2087.0,2094.0,2087.0,2087.0,2087.0,2087.0,2074.0
sphinx3_1339B,2048.0,7723.0,7742.0,7722.0,7722.0,7723.0,7733.0,7738.0,7740.0,7783.0,7723.0,7723.0,7779.0,7724.0,7723.0,7720.0,7720.0,7723.0,7723.0,7723.0,7723.0,7723.0,1819.0,3843.0,3843.0,3844.0,3843.0,3843.0,3843.0,3843.0,3844.0,8008.0,8060.0,3844.0,3844.0,7974.0,8140.0,3844.0,3844.0,3844.0,3847.0,8044.0
astar_313B,15526.0,118508.0,110819.0,125752.0,122011.0,120763.0,110608.0,113733.0,132636.0,134154.0,115496.0,114807.0,138189.0,118265.0,117231.0,118656.0,118656.0,118508.0,118508.0,118508.0,118508.0,118508.0,139249.0,69885.0,82466.0,83345.0,69885.0,84884.0,69484.0,75210.0,22243.0,81841.0,78828.0,21793.0,22284.0,87024.0,88678.0,21793.0,21812.0,70976.0,21778.0,124407.0
cactusADM_1039B,22.0,33.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,2333.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,465.0,1524.0,90.0,90.0,179.0,1499.0,90.0,90.0,90.0,93.0,1878.0
sphinx3_883B,1210.0,4423.0,4406.0,4407.0,4408.0,4408.0,4407.0,4409.0,4406.0,4475.0,4423.0,4423.0,4461.0,4423.0,4423.0,4423.0,4423.0,4423.0,4423.0,4423.0,4423.0,4423.0,2603.0,3867.0,3869.0,2626.0,3484.0,3867.0,3867.0,3860.0,2516.0,3854.0,4871.0,2516.0,2516.0,3795.0,4548.0,2516.0,2571.0,2610.0,2580.0,3751.0
perlbench_105B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leslie3d_1186B,9683.0,17211.0,17180.0,17181.0,17231.0,17181.0,17182.0,17182.0,17180.0,15315.0,17210.0,17210.0,17256.0,17230.0,17221.0,17208.0,17208.0,17211.0,17211.0,17211.0,17211.0,17211.0,13379.0,20748.0,21150.0,20257.0,18242.0,20874.0,20703.0,20682.0,18009.0,19760.0,19230.0,17462.0,18563.0,20011.0,23265.0,17462.0,17577.0,17584.0,18360.0,24551.0
omnetpp_17B,13.0,180.0,169.0,186.0,185.0,183.0,172.0,167.0,174.0,210.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,97.0,181.0,200.0,8.0,191.0,182.0,202.0,202.0,8.0,221.0,224.0,8.0,8.0,216.0,224.0,8.0,8.0,8.0,8.0,184.0
zeusmp_600B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gcc_56B,1060392.0,1060262.0,1060263.0,1060289.0,1060264.0,1060249.0,1060226.0,1060206.0,1060229.0,1060217.0,1060267.0,1060270.0,1060226.0,1060246.0,1060256.0,1060259.0,1060259.0,1060262.0,1060262.0,1060262.0,1060262.0,1060262.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0,1060392.0
perlbench_53B,2813.0,2866.0,2866.0,2866.0,2866.0,2866.0,2866.0,2866.0,2866.0,2867.0,2866.0,2866.0,2866.0,2866.0,2866.0,2867.0,2867.0,2866.0,2866.0,2866.0,2866.0,2866.0,2231.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2854.0,2867.0,2854.0,2854.0,2854.0,2857.0,2854.0,2854.0,2854.0,2854.0,2858.0
cactusADM_734B,192.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,29.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,1837.0,192.0,192.0,192.0,206.0,192.0,192.0,192.0,192.0,585.0,2641.0,192.0,192.0,486.0,2012.0,192.0,192.0,250.0,236.0,1800.0
lbm_94B,5766.0,16712.0,17314.0,20479.0,14071.0,13304.0,20719.0,22113.0,14636.0,28292.0,7679.0,6860.0,35808.0,39703.0,27235.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,16712.0,26102.0,31674.0,32335.0,10384.0,14269.0,32421.0,33556.0,33051.0,9259.0,33740.0,30147.0,6717.0,9610.0,33747.0,31513.0,7295.0,7163.0,6987.0,6871.0,38699.0
