lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
omnetpp_4B,2508.0,1798.0,1808.0,1812.0,1785.0,1785.0,1807.0,1817.0,1801.0,1811.0,1798.0,1798.0,1797.0,1799.0,1797.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1798.0,1339.0,2235.0,1193.0,2235.0,2235.0,2235.0,2235.0,2235.0,2235.0,1062.0,747.0,2235.0,2235.0,1123.0,806.0,2235.0,2235.0,2235.0,2235.0,1650.0
astar_163B,3742.0,4455.0,4455.0,4455.0,4455.0,4455.0,4455.0,4455.0,4455.0,4483.0,4455.0,4455.0,4463.0,4455.0,4455.0,4455.0,4455.0,4455.0,4455.0,4455.0,4455.0,4455.0,4267.0,3747.0,3747.0,3747.0,3747.0,3747.0,3747.0,3747.0,3747.0,4080.0,4372.0,3747.0,3747.0,3855.0,4308.0,3747.0,3747.0,3747.0,3747.0,3761.0
gcc_13B,122583.0,125967.0,125919.0,126004.0,126140.0,125969.0,124680.0,124649.0,125801.0,124795.0,126002.0,125901.0,125459.0,126113.0,125921.0,127106.0,127106.0,125973.0,125973.0,125967.0,125967.0,125967.0,129455.0,122917.0,123102.0,122810.0,123233.0,123209.0,123416.0,123199.0,122551.0,123731.0,125231.0,122792.0,122750.0,123605.0,124941.0,122795.0,122935.0,124581.0,121427.0,123010.0
omnetpp_340B,16638.0,15557.0,15461.0,15517.0,15686.0,15533.0,15494.0,15569.0,15631.0,15939.0,15557.0,15557.0,15780.0,15548.0,15555.0,15514.0,15514.0,15503.0,15557.0,15557.0,15557.0,15557.0,19101.0,17839.0,18385.0,17708.0,17132.0,18086.0,17639.0,17495.0,17235.0,18501.0,18213.0,17504.0,17237.0,18504.0,18379.0,17504.0,17391.0,17220.0,17429.0,16647.0
leslie3d_94B,16745.0,7400.0,7364.0,7363.0,7412.0,7362.0,7362.0,7364.0,7402.0,8825.0,7401.0,7401.0,7356.0,7392.0,7402.0,7403.0,7403.0,7400.0,7400.0,7400.0,7400.0,7400.0,23153.0,4011.0,3802.0,4249.0,7941.0,3795.0,4185.0,4255.0,7573.0,2025.0,5629.0,8497.0,6717.0,2751.0,2844.0,8497.0,8472.0,8439.0,6994.0,450.0
wrf_1228B,59642.0,59642.0,59642.0,59642.0,59642.0,59642.0,59642.0,59642.0,59642.0,59631.0,59642.0,59642.0,59641.0,59642.0,59642.0,59642.0,59642.0,59642.0,59642.0,59642.0,59642.0,59642.0,53278.0,59642.0,59642.0,59642.0,59642.0,59642.0,59642.0,59642.0,59642.0,59642.0,59638.0,59642.0,59642.0,59641.0,59642.0,59642.0,59642.0,59642.0,59642.0,59641.0
milc_744B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bzip2_183B,8915.0,10114.0,10119.0,10104.0,10112.0,10114.0,10113.0,10110.0,10125.0,10981.0,10114.0,10114.0,10114.0,10114.0,10114.0,10114.0,10114.0,10114.0,10114.0,10114.0,10114.0,10114.0,12974.0,8979.0,8979.0,8979.0,8979.0,8979.0,8979.0,8979.0,8979.0,8979.0,10947.0,8979.0,8979.0,8979.0,10280.0,8979.0,8979.0,8979.0,8979.0,9150.0
libquantum_1210B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
milc_360B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zeusmp_100B,10997.0,11002.0,11001.0,11002.0,11002.0,11002.0,11002.0,11003.0,11001.0,11143.0,11002.0,11002.0,11093.0,11073.0,11002.0,11002.0,11002.0,11002.0,11002.0,11002.0,11002.0,11002.0,11009.0,10998.0,10998.0,10998.0,10998.0,10998.0,10998.0,10998.0,10998.0,11008.0,11034.0,10998.0,10998.0,11002.0,11023.0,10998.0,10998.0,10998.0,10998.0,11132.0
