lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
omnetpp_4B,9694.0,4467.0,4307.0,4461.0,4494.0,4475.0,4472.0,4437.0,4431.0,3784.0,4467.0,4467.0,3875.0,4369.0,4457.0,4463.0,4463.0,4467.0,4467.0,4467.0,4467.0,4467.0,6240.0,9623.0,6875.0,9623.0,9623.0,9622.0,9623.0,9623.0,9623.0,6869.0,7582.0,9623.0,9623.0,6878.0,6877.0,9623.0,9623.0,9623.0,9623.0,8726.0
astar_163B,21070.0,15192.0,15192.0,15192.0,15192.0,15192.0,15192.0,15192.0,15195.0,10561.0,15192.0,15192.0,14611.0,14508.0,15192.0,15192.0,15192.0,15192.0,15192.0,15192.0,15192.0,15192.0,12551.0,21048.0,21048.0,21048.0,21048.0,21048.0,21048.0,21048.0,21048.0,16230.0,10623.0,21048.0,21048.0,20445.0,12382.0,21048.0,21048.0,21048.0,21048.0,19597.0
gcc_13B,246649.0,159491.0,163805.0,163800.0,129114.0,163984.0,160877.0,164214.0,163933.0,78795.0,159754.0,125939.0,111358.0,101762.0,121495.0,158526.0,158526.0,159499.0,159499.0,159491.0,159491.0,159491.0,13464.0,101372.0,97619.0,175707.0,234856.0,94067.0,96946.0,96879.0,211653.0,63380.0,53244.0,246576.0,198717.0,66756.0,56852.0,241874.0,234480.0,191099.0,194417.0,102647.0
omnetpp_340B,97033.0,79137.0,79127.0,79091.0,79046.0,79032.0,79095.0,79002.0,78759.0,56008.0,79137.0,79137.0,66107.0,76826.0,79080.0,79125.0,79125.0,79131.0,79137.0,79137.0,79137.0,79137.0,35476.0,73687.0,58087.0,83805.0,87021.0,66764.0,69319.0,67334.0,96637.0,45298.0,31484.0,96904.0,96358.0,48476.0,30930.0,96904.0,87972.0,92108.0,91538.0,65883.0
leslie3d_94B,52821.0,30564.0,30724.0,30724.0,30724.0,30720.0,30726.0,30727.0,30717.0,25139.0,30725.0,30725.0,27156.0,28912.0,28914.0,30568.0,30568.0,30564.0,30564.0,30564.0,30564.0,30564.0,10405.0,33663.0,32620.0,34265.0,52498.0,33434.0,33560.0,33662.0,45979.0,32209.0,24894.0,52958.0,43286.0,31890.0,29994.0,52958.0,52914.0,52962.0,34379.0,34136.0
wrf_1228B,104829.0,89760.0,89760.0,89760.0,89760.0,89760.0,89760.0,89760.0,89760.0,67390.0,89760.0,89760.0,82532.0,89760.0,89760.0,89737.0,89737.0,89766.0,89760.0,89760.0,89760.0,89760.0,18138.0,81478.0,78604.0,86858.0,89605.0,82806.0,83187.0,78556.0,104841.0,63638.0,50920.0,104849.0,101515.0,55379.0,56588.0,104849.0,104846.0,90425.0,104848.0,56038.0
milc_744B,34157.0,8285.0,17478.0,11283.0,8448.0,12667.0,8476.0,16024.0,17478.0,3284.0,9613.0,10923.0,4056.0,5422.0,7047.0,8285.0,8285.0,8285.0,8285.0,8285.0,8285.0,8285.0,379.0,34087.0,31254.0,34157.0,34087.0,33772.0,34087.0,34087.0,34157.0,17199.0,8047.0,34157.0,34157.0,20691.0,10477.0,34157.0,34157.0,34157.0,34157.0,14999.0
bzip2_183B,28488.0,27181.0,27179.0,27182.0,27181.0,27179.0,27180.0,27180.0,27178.0,24048.0,27181.0,27181.0,27181.0,27181.0,27181.0,27181.0,27181.0,27181.0,27181.0,27181.0,27181.0,27181.0,23223.0,28459.0,28459.0,28459.0,28459.0,28459.0,28459.0,28459.0,28459.0,28459.0,19347.0,28459.0,28459.0,28459.0,20595.0,28459.0,28459.0,28459.0,28459.0,27622.0
libquantum_1210B,127375.0,6970.0,7796.0,7796.0,7305.0,7796.0,7796.0,7796.0,7796.0,405.0,7796.0,7796.0,1142.0,3199.0,4740.0,6970.0,6970.0,6970.0,6970.0,6970.0,6970.0,6970.0,2.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,78506.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,127375.0,7281.0
milc_360B,68968.0,39506.0,39404.0,38966.0,9396.0,39228.0,38575.0,39008.0,68968.0,34484.0,41912.0,43630.0,34484.0,34788.0,37426.0,39584.0,39506.0,39506.0,39506.0,39506.0,39506.0,39506.0,0.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,68968.0,705.0
