lru-config2,lime-config2,lime_10ts-config2,lime_14ts-config2,lime_18ts-config2,lime_22ts-config2,lime_26ts-config2,lime_30ts-config2,lime_4ts-config2,lime_ht_16-config2,lime_ht_160-config2,lime_ht_192-config2,lime_ht_32-config2,lime_ht_64-config2,lime_ht_96-config2,lime_pat30-config2,lime_pc10-config2,lime_pc12-config2,lime_pc14-config2,lime_pc18-config2,lime_pc20-config2,lime_pc22-config2,multp-config2,red-config2,red_1_52-config2,red_259-config2,red_268-config2,red_2_60-config2,red_4_66-config2,red_5_69-config2,red_ad-config2,red_ah-config2,red_aq-config2,red_aqp-config2,red_ld-config2,red_lh-config2,red_lq-config2,red_lqp-config2,red_sw3-config2,red_sw4-config2,red_sw5-config2,ship_pp-config2
omnetpp_4B,0.0,5227.0,5387.0,5233.0,5200.0,5219.0,5222.0,5257.0,5263.0,5910.0,5227.0,5227.0,5819.0,5325.0,5237.0,5231.0,5231.0,5227.0,5227.0,5227.0,5227.0,5227.0,3454.0,71.0,2819.0,71.0,71.0,72.0,71.0,71.0,71.0,2825.0,2112.0,71.0,71.0,2816.0,2817.0,71.0,71.0,71.0,71.0,968.0
astar_163B,0.0,5878.0,5878.0,5878.0,5878.0,5878.0,5878.0,5878.0,5875.0,10507.0,5878.0,5878.0,6459.0,6560.0,5878.0,5878.0,5878.0,5878.0,5878.0,5878.0,5878.0,5878.0,8518.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,4840.0,10447.0,22.0,22.0,625.0,8688.0,22.0,22.0,22.0,22.0,1473.0
gcc_13B,5.0,87272.0,82923.0,82927.0,117648.0,82752.0,85966.0,82604.0,82807.0,167972.0,87011.0,120843.0,135394.0,145046.0,125267.0,88229.0,88229.0,87273.0,87273.0,87272.0,87272.0,87272.0,233083.0,145354.0,149131.0,71005.0,11759.0,152661.0,149775.0,149847.0,35017.0,183318.0,193445.0,51.0,47961.0,179984.0,189867.0,4762.0,12166.0,55546.0,52242.0,144093.0
omnetpp_340B,42.0,17930.0,17939.0,17978.0,18019.0,18036.0,17973.0,18066.0,18309.0,41057.0,17930.0,17930.0,30959.0,20241.0,17987.0,17942.0,17942.0,17936.0,17930.0,17930.0,17930.0,17930.0,61597.0,23387.0,38983.0,13269.0,10052.0,30309.0,27755.0,29739.0,437.0,51772.0,65586.0,170.0,716.0,48596.0,66140.0,170.0,9102.0,4965.0,5536.0,31189.0
leslie3d_94B,646.0,22907.0,22746.0,22746.0,22746.0,22750.0,22744.0,22743.0,22753.0,28329.0,22746.0,22746.0,26312.0,24561.0,24559.0,22903.0,22903.0,22907.0,22907.0,22907.0,22907.0,22907.0,43097.0,19847.0,20882.0,19212.0,970.0,20071.0,19939.0,19838.0,7490.0,21283.0,28611.0,512.0,10186.0,21599.0,23506.0,512.0,555.0,504.0,19087.0,19351.0
wrf_1228B,71.0,15140.0,15140.0,15140.0,15140.0,15140.0,15140.0,15140.0,15140.0,37510.0,15140.0,15140.0,22368.0,15140.0,15140.0,15163.0,15163.0,15134.0,15140.0,15140.0,15140.0,15140.0,86762.0,23422.0,26296.0,18042.0,15295.0,22094.0,21713.0,26344.0,59.0,41262.0,53980.0,51.0,3385.0,49521.0,48312.0,51.0,54.0,14475.0,52.0,48862.0
milc_744B,0.0,25872.0,16679.0,22874.0,25709.0,21490.0,25681.0,18133.0,16679.0,30873.0,24544.0,23234.0,30101.0,28735.0,27110.0,25872.0,25872.0,25872.0,25872.0,25872.0,25872.0,25872.0,33778.0,70.0,2903.0,0.0,70.0,385.0,70.0,70.0,0.0,16958.0,26110.0,0.0,0.0,13466.0,23680.0,0.0,0.0,0.0,0.0,19158.0
bzip2_183B,0.0,1307.0,1308.0,1307.0,1307.0,1309.0,1308.0,1308.0,1309.0,4439.0,1307.0,1307.0,1307.0,1307.0,1307.0,1307.0,1307.0,1307.0,1307.0,1307.0,1307.0,1307.0,5264.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,9142.0,28.0,28.0,28.0,7894.0,28.0,28.0,28.0,28.0,864.0
libquantum_1210B,0.0,120405.0,119579.0,119579.0,120070.0,119579.0,119579.0,119579.0,119579.0,126970.0,119579.0,119579.0,126233.0,124176.0,122635.0,120405.0,120405.0,120405.0,120405.0,120405.0,120405.0,120405.0,127373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120094.0
milc_360B,0.0,29462.0,29564.0,30002.0,59572.0,29740.0,30393.0,29960.0,0.0,34484.0,27056.0,25338.0,34484.0,34180.0,31542.0,29384.0,29462.0,29462.0,29462.0,29462.0,29462.0,29462.0,68968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68263.0
zeusmp_100B,47.0,216.0,225.0,217.0,207.0,213.0,217.0,256.0,208.0,5292.0,216.0,216.0,2987.0,1190.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,4543.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,2629.0,7570.0,55.0,55.0,904.0,5924.0,55.0,55.0,55.0,55.0,2090.0
calculix_2655B,0.0,5373.0,5373.0,5373.0,5373.0,5373.0,5373.0,5373.0,5373.0,5410.0,5373.0,5373.0,5373.0,5373.0,5373.0,5373.0,5373.0,5373.0,5373.0,5373.0,5373.0,5373.0,1519.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,23.0,200.0,42.0,42.0,42.0,62.0,42.0,42.0,42.0,42.0,29.0
lbm_1004B,9.0,62599.0,47565.0,56362.0,59920.0,65901.0,53356.0,66056.0,52923.0,190521.0,48101.0,43626.0,158705.0,86382.0,76057.0,62599.0,62599.0,62599.0,62599.0,62599.0,62599.0,62599.0,191039.0,157778.0,160207.0,59241.0,109426.0,159704.0,155030.0,153018.0,31143.0,179636.0,189031.0,9.0,36557.0,179999.0,187063.0,7984.0,11435.0,14737.0,1404.0,130703.0
soplex_217B,0.0,60497.0,55911.0,58764.0,56280.0,53818.0,60108.0,58286.0,56115.0,49407.0,59272.0,58926.0,50241.0,48263.0,61477.0,61658.0,61658.0,61172.0,60905.0,60497.0,60497.0,60497.0,104895.0,20214.0,27948.0,1184.0,1129.0,21139.0,19437.0,19093.0,10661.0,71535.0,128262.0,433.0,10252.0,62789.0,116751.0,430.0,2550.0,47350.0,10775.0,53718.0
milc_409B,0.0,28020.0,758.0,14003.0,15961.0,13095.0,15015.0,15015.0,758.0,145501.0,22393.0,18224.0,128105.0,96980.0,66475.0,28020.0,28020.0,28020.0,28020.0,28020.0,28020.0,28020.0,177256.0,93539.0,97271.0,93539.0,93539.0,96524.0,93131.0,93032.0,55519.0,107456.0,113303.0,0.0,66400.0,104887.0,110804.0,29025.0,0.0,0.0,0.0,150734.0
calculix_2670B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
